Level,Title,Enterprise Item Number,Revision,Title (Instance),Is Latest Revision,Maturity State,Owner,Lock,Modification Date,Type,Name,Density [kg/m^3],Mass [kg]
2,x_shaft,None,A.1,x_shaft.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454207,6860,0.002543
2,x_screw_00,None,A.1,x_screw_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:50:09 PM",Physical Product,prd-R1132100679051-01454208,6860,0.005891
2,x_nut_00,None,A.1,x_nut_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454209,6860,0.00261
2,x_screw_01,None,A.1,x_screw_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454210,6860,0.005891
2,x_nut_01,None,A.1,x_nut_01.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454211,6860,0.00261
2,x_screw_02,None,A.1,x_screw_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454212,6860,0.005891
2,x_nut_02,None,A.1,x_nut_02.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454213,6860,0.00261
2,x_screw_03,None,A.1,x_screw_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454214,6860,0.005891
2,x_nut_03,None,A.1,x_nut_03.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454215,6860,0.00261
2,x_screw_04,None,A.1,x_screw_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454216,6860,0.005891
2,x_nut_04,None,A.1,x_nut_04.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454217,6860,0.00261
2,x_screw_05,None,A.1,x_screw_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454218,6860,0.005891
2,x_nut_05,None,A.1,x_nut_05.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454219,6860,0.00261
2,x_screw_06,None,A.1,x_screw_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454220,6860,0.005891
2,x_nut_06,None,A.1,x_nut_06.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454221,6860,0.00261
2,x_screw_07,None,A.1,x_screw_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454222,6860,0.005891
2,x_nut_07,None,A.1,x_nut_07.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454223,6860,0.00261
2,x_screw_08,None,A.1,x_screw_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454224,6860,0.005891
2,x_nut_08,None,A.1,x_nut_08.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454225,6860,0.00261
2,x_screw_09,None,A.1,x_screw_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454226,6860,0.005891
2,x_nut_09,None,A.1,x_nut_09.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454227,6860,0.00261
2,x_screw_10,None,A.1,x_screw_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454228,6860,0.005891
2,x_nut_10,None,A.1,x_nut_10.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454229,6860,0.00261
2,x_screw_11,None,A.1,x_screw_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454230,6860,0.005891
2,x_nut_11,None,A.1,x_nut_11.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454231,6860,0.00261
2,x_screw_12,None,A.1,x_screw_12.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454232,6860,0.005891
2,x_nut_12,None,A.1,x_nut_12.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454233,6860,0.00261
2,x_screw_13,None,A.1,x_screw_13.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454234,6860,0.005891
2,x_nut_13,None,A.1,x_nut_13.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454235,6860,0.00261
2,x_screw_14,None,A.1,x_screw_14.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454236,6860,0.005891
