14968	-1.029	-38.202	36.299	2.64	-5.37	1.52	-0.003	0.044	-0.032	0.0219	-0.0799	0.0931	0.0000	0.0000	0.0000	0	1.00
14975	-1.004	-38.204	36.323	2.87	-5.35	1.37	-0.041	0.043	-0.023	0.0252	-0.0765	0.0926	0.0000	0.0000	0.0000	0	1.00
14983	-0.984	-38.208	36.344	2.97	-5.31	1.24	-0.052	0.027	-0.009	0.0263	-0.0740	0.0911	0.0000	0.0000	0.0000	0	1.00
14990	-0.970	-38.214	36.363	2.57	-5.03	1.35	-0.045	0.034	-0.013	0.0218	-0.0734	0.0869	0.0000	0.0000	0.0000	0	1.00
14997	-0.959	-38.220	36.378	2.25	-4.39	1.13	-0.049	-0.004	-0.001	0.0189	-0.0635	0.0752	0.0000	0.0000	0.0000	0	1.00
15005	-0.947	-38.226	36.394	2.32	-3.97	0.86	-0.041	-0.023	-0.002	0.0211	-0.0539	0.0679	0.0000	0.0000	0.0000	0	1.00
15013	-0.925	-38.228	36.415	2.17	-3.93	0.65	-0.009	-0.028	0.013	0.0169	-0.0524	0.0632	0.0000	0.0000	0.0000	0	1.00
15020	-0.898	-38.228	36.439	2.60	-3.96	0.36	0.010	-0.027	-0.000	0.0225	-0.0471	0.0627	0.0000	0.0000	0.0000	0	1.00
15027	-0.866	-38.224	36.464	2.76	-4.38	0.20	0.016	-0.034	0.006	0.0212	-0.0513	0.0655	0.0000	0.0000	0.0000	0	1.00
15035	-0.829	-38.219	36.491	3.34	-5.17	0.19	0.009	-0.015	0.005	0.0262	-0.0594	0.0773	0.0000	0.0000	0.0000	0	1.00
15042	-0.791	-38.212	36.518	3.96	-5.42	0.03	0.011	-0.013	0.013	0.0347	-0.0573	0.0822	0.0000	0.0000	0.0000	0	1.00
15049	-0.755	-38.203	36.541	4.37	-5.76	-0.14	0.015	-0.012	0.009	0.0386	-0.0582	0.0862	0.0000	0.0000	0.0000	0	1.00
15057	-0.727	-38.196	36.558	4.49	-5.35	-0.77	0.035	0.004	-0.003	0.0388	-0.0452	0.0740	0.0000	0.0000	0.0000	0	1.00
15064	-0.706	-38.190	36.571	4.68	-5.43	-1.20	0.019	0.025	-0.005	0.0385	-0.0412	0.0700	0.0000	0.0000	0.0000	0	1.00
15071	-0.688	-38.184	36.582	4.56	-4.84	-1.56	0.013	-0.007	-0.000	0.0377	-0.0294	0.0583	0.0000	0.0000	0.0000	0	1.00
15079	-0.669	-38.178	36.593	4.79	-4.61	-1.93	0.027	0.019	-0.010	0.0410	-0.0205	0.0526	0.0000	0.0000	0.0000	0	1.00
15086	-0.648	-38.173	36.606	4.94	-4.38	-2.31	0.018	0.002	-0.000	0.0425	-0.0124	0.0461	0.0000	0.0000	0.0000	0	1.00
15093	-0.623	-38.169	36.623	4.77	-4.10	-2.63	0.007	0.015	0.001	0.0388	-0.0063	0.0374	0.0000	0.0000	0.0000	0	1.00
15101	-0.586	-38.161	36.649	5.30	-4.57	-2.58	-0.003	0.020	0.008	0.0457	-0.0103	0.0468	0.0000	0.0000	0.0000	0	1.00
15108	-0.538	-38.151	36.681	5.90	-5.06	-2.37	-0.018	0.018	0.006	0.0550	-0.0155	0.0592	0.0000	0.0000	0.0000	0	1.00
15116	-0.489	-38.141	36.715	6.68	-5.53	-2.15	-0.031	0.044	-0.003	0.0677	-0.0192	0.0731	0.0000	0.0000	0.0000	0	1.00
15123	-0.431	-38.125	36.750	6.96	-5.91	-2.26	-0.039	0.034	-0.026	0.0693	-0.0221	0.0771	0.0000	0.0000	0.0000	0	1.00
15130	-0.366	-38.104	36.787	7.39	-6.11	-2.39	-0.035	0.011	-0.025	0.0749	-0.0211	0.0807	0.0000	0.0000	0.0000	0	1.00
15138	-0.297	-38.078	36.822	7.68	-6.18	-2.19	-0.023	0.020	-0.027	0.0814	-0.0217	0.0866	0.0000	0.0000	0.0000	0	1.00
15146	-0.232	-38.051	36.853	7.36	-5.82	-2.44	-0.027	-0.033	-0.026	0.0761	-0.0161	0.0770	0.0000	0.0000	0.0000	0	1.00
15153	-0.167	-38.023	36.884	6.74	-5.27	-2.15	-0.005	-0.044	-0.013	0.0707	-0.0146	0.0712	0.0000	0.0000	0.0000	0	1.00
15160	-0.097	-37.992	36.915	6.39	-5.25	-2.14	0.018	-0.065	-0.017	0.0644	-0.0171	0.0683	0.0000	0.0000	0.0000	0	1.00
15168	-0.022	-37.960	36.950	6.24	-5.06	-1.43	0.031	-0.056	-0.020	0.0684	-0.0215	0.0758	0.0000	0.0000	0.0000	0	1.00
15176	0.054	-37.927	36.984	6.26	-5.31	-1.00	0.029	-0.030	-0.019	0.0704	-0.0292	0.0847	0.0000	0.0000	0.0000	0	1.00
15183	0.131	-37.894	37.019	6.12	-5.50	-1.10	0.046	-0.015	-0.005	0.0657	-0.0323	0.0838	0.0000	0.0000	0.0000	0	1.00
15190	0.209	-37.861	37.056	5.88	-5.55	-0.80	0.044	0.000	0.005	0.0631	-0.0376	0.0866	0.0000	0.0000	0.0000	0	1.00
15198	0.288	-37.830	37.095	5.92	-5.31	-0.66	0.038	-0.007	0.012	0.0667	-0.0348	0.0870	0.0000	0.0000	0.0000	0	1.00
15205	0.352	-37.806	37.129	5.60	-5.00	-0.43	0.029	0.021	0.019	0.0646	-0.0342	0.0848	0.0000	0.0000	0.0000	0	1.00
15213	0.406	-37.788	37.159	5.16	-4.71	-0.40	0.027	0.028	0.027	0.0590	-0.0331	0.0791	0.0000	0.0000	0.0000	0	1.00
15220	0.457	-37.774	37.189	4.59	-4.14	-0.18	0.022	0.037	0.019	0.0541	-0.0303	0.0725	0.0000	0.0000	0.0000	0	1.00
15228	0.506	-37.761	37.220	4.48	-4.08	-0.03	0.010	0.008	0.007	0.0536	-0.0315	0.0733	0.0000	0.0000	0.0000	0	1.00
15235	0.545	-37.754	37.248	4.43	-3.97	-0.09	-0.004	0.012	0.010	0.0530	-0.0296	0.0710	0.0000	0.0000	0.0000	0	1.00
15243	0.580	-37.749	37.274	4.34	-3.85	-0.22	-0.026	0.028	0.009	0.0512	-0.0271	0.0672	0.0000	0.0000	0.0000	0	1.00
