# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
13064	0	0.0000	0	2.261	-36.272	37.315	23.63	30.02	24.01	-0.033	0.064	0.005
13071	0	0.0000	0	2.321	-36.240	37.337	23.20	30.18	24.60	-0.028	0.063	-0.002
13078	0	0.0000	0	2.368	-36.214	37.353	22.53	31.10	24.57	-0.012	0.038	0.004
13084	0	0.0000	0	2.404	-36.187	37.358	22.28	32.62	22.98	-0.020	0.006	0.024
13092	0	0.0000	0	2.420	-36.167	37.353	20.95	33.57	23.24	0.013	-0.026	-0.003
13099	0	0.0000	0	2.408	-36.165	37.340	18.77	34.13	25.19	0.056	-0.020	-0.042
13106	0	0.0000	0	2.370	-36.178	37.319	17.52	34.56	26.74	0.092	0.010	-0.082
13113	0	0.0000	0	2.319	-36.197	37.293	16.11	33.68	29.57	0.087	0.006	-0.088
13120	0	0.0000	0	2.270	-36.211	37.263	15.78	33.28	29.77	0.063	0.002	-0.055
13127	0	0.0000	0	2.216	-36.220	37.225	17.18	33.49	28.16	-0.002	-0.000	0.030
13134	0	0.0000	0	2.160	-36.228	37.183	18.54	33.57	26.93	-0.072	0.000	0.084
13141	0	0.0000	0	2.093	-36.239	37.134	20.41	34.06	25.09	-0.109	-0.001	0.119
13148	0	0.0000	0	1.998	-36.265	37.076	20.86	34.68	24.66	-0.109	0.009	0.107
13155	0	0.0000	0	1.869	-36.311	37.008	20.34	35.06	25.65	-0.089	-0.008	0.078
13162	0	0.0000	0	1.741	-36.360	36.944	19.25	35.07	27.99	-0.037	-0.016	0.021
13169	0	0.0000	0	1.614	-36.414	36.884	18.57	34.64	29.63	-0.013	-0.006	-0.034
13176	0	0.0000	0	1.516	-36.455	36.837	18.59	34.01	31.51	0.005	0.002	-0.063
13183	0	0.0000	0	1.460	-36.474	36.807	19.78	33.14	32.36	-0.015	0.030	-0.068
13190	0	0.0000	0	1.443	-36.474	36.791	22.46	32.00	31.98	-0.038	0.049	-0.049
13197	0	0.0000	0	1.453	-36.459	36.786	25.19	30.80	31.30	-0.049	0.047	-0.024
13204	0	0.0000	0	1.482	-36.434	36.787	26.78	30.63	30.61	-0.046	0.029	-0.010
13212	0	0.0000	0	1.502	-36.412	36.783	27.15	31.36	30.46	-0.010	-0.013	0.003
13219	0	0.0000	0	1.512	-36.400	36.780	25.67	32.61	31.02	0.042	-0.044	-0.006
13226	0	0.0000	0	1.503	-36.400	36.772	24.12	34.83	31.08	0.101	-0.097	0.018
13232	0	0.0000	0	1.487	-36.408	36.766	21.60	37.27	31.37	0.167	-0.121	0.011
13240	0	0.0000	0	1.462	-36.429	36.764	19.59	37.91	32.53	0.206	-0.117	-0.027
13247	0	0.0000	0	1.439	-36.456	36.770	17.55	37.80	35.11	0.198	-0.062	-0.036
13254	0	0.0000	0	1.432	-36.477	36.785	17.52	36.75	36.83	0.162	-0.000	-0.051
13261	0	0.0000	0	1.428	-36.495	36.800	17.47	35.59	37.40	0.091	0.062	-0.043
13268	0	0.0000	0	1.432	-36.503	36.810	17.98	35.32	37.48	0.026	0.107	-0.009
13275	0	0.0000	0	1.419	-36.508	36.804	18.55	35.54	36.58	-0.057	0.115	0.029
13282	0	0.0000	0	1.380	-36.516	36.776	18.73	36.14	34.84	-0.105	0.113	0.076
13289	0	0.0000	0	1.302	-36.534	36.726	18.04	37.84	33.42	-0.151	0.074	0.090
13296	0	0.0000	0	1.191	-36.567	36.661	16.64	39.33	33.01	-0.152	0.034	0.100
13303	0	0.0000	0	1.037	-36.623	36.580	14.79	40.47	33.29	-0.148	0.004	0.090
13310	0	0.0000	0	0.879	-36.684	36.500	14.05	40.75	34.08	-0.116	-0.008	0.035
13317	0	0.0000	0	0.711	-36.756	36.423	12.84	40.11	35.60	-0.097	-0.000	-0.013
13324	0	0.0000	0	0.561	-36.825	36.357	12.52	38.34	37.37	-0.082	0.006	-0.047
13331	0	0.0000	0	0.435	-36.884	36.304	13.79	35.76	38.16	-0.072	0.047	-0.071
13338	0	0.0000	0	0.332	-36.929	36.257	15.95	33.22	37.69	-0.081	0.057	-0.051
13345	0	0.0000	0	0.250	-36.962	36.216	17.36	31.88	36.77	-0.080	0.060	-0.018
13352	0	0.0000	0	0.169	-36.989	36.172	18.96	30.55	35.34	-0.043	0.032	0.016
13359	0	0.0000	0	0.081	-37.015	36.120	19.65	30.11	34.03	0.010	0.000	0.022
13366	0	0.0000	0	-0.019	-37.046	36.062	18.60	30.03	33.68	0.066	-0.026	0.015
13373	0	0.0000	0	-0.127	-37.082	36.001	17.27	30.19	34.01	0.125	-0.071	0.008
13380	0	0.0000	0	-0.235	-37.121	35.945	15.84	30.14	34.21	0.165	-0.076	-0.003
13387	0	0.0000	0	-0.330	-37.158	35.897	14.73	29.88	34.21	0.186	-0.089	0.002
13394	0	0.0000	0	-0.409	-37.193	35.861	14.84	28.45	34.06	0.159	-0.038	0.009
13401	0	0.0000	0	-0.458	-37.220	35.846	15.90	26.58	32.97	0.124	-0.000	0.011
13408	0	0.0000	0	-0.491	-37.245	35.841	16.25	25.44	32.27	0.081	0.033	0.019
13415	0	0.0000	0	-0.513	-37.270	35.846	17.04	22.93	31.57	0.026	0.068	0.005
13422	0	0.0000	0	-0.541	-37.301	35.850	17.29	21.75	31.00	-0.021	0.067	0.011
13429	0	0.0000	0	-0.582	-37.339	35.852	16.63	20.69	30.29	-0.048	0.049	-0.001
13436	0	0.0000	0	-0.633	-37.381	35.848	16.16	20.47	29.73	-0.055	0.026	-0.004
13443	0	0.0000	0	-0.692	-37.426	35.839	14.66	20.33	28.82	-0.052	0.001	-0.022
13450	0	0.0000	0	-0.761	-37.472	35.824	13.75	20.13	27.50	-0.055	-0.036	-0.014
13457	0	0.0000	0	-0.824	-37.514	35.810	13.38	19.50	25.75	-0.071	-0.041	0.009
13464	0	0.0000	0	-0.878	-37.550	35.797	13.77	18.34	23.99	-0.077	-0.025	0.010
13471	0	0.0000	0	-0.928	-37.583	35.784	14.12	17.35	22.83	-0.074	-0.014	0.045
13478	0	0.0000	0	-0.975	-37.614	35.773	14.22	16.25	20.87	-0.061	-0.010	0.046
13485	0	0.0000	0	-1.023	-37.642	35.759	13.57	15.95	19.28	-0.034	-0.021	0.049
13492	0	0.0000	0	-1.069	-37.669	35.744	12.13	15.92	17.78	-0.002	-0.035	0.042
13499	0	0.0000	0	-1.110	-37.691	35.730	10.66	16.66	16.20	0.030	-0.030	0.033
13506	0	0.0000	0	-1.138	-37.708	35.721	9.65	16.45	15.30	0.054	-0.026	0.026
13513	0	0.0000	0	-1.149	-37.720	35.724	8.79	15.44	14.73	0.065	0.003	0.002
13520	0	0.0000	0	-1.141	-37.725	35.736	8.97	13.93	13.74	0.067	0.038	-0.016
13528	0	0.0000	0	-1.117	-37.722	35.754	9.80	12.55	12.28	0.040	0.073	-0.028
13535	0	0.0000	0	-1.086	-37.713	35.772	10.64	11.33	10.55	0.006	0.075	-0.018
13542	0	0.0000	0	-1.058	-37.703	35.787	11.05	10.77	9.22	-0.019	0.062	-0.019
13549	0	0.0000	0	-1.049	-37.697	35.789	10.65	10.72	7.87	-0.013	0.030	-0.020
13556	0	0.0000	0	-1.056	-37.696	35.782	9.31	11.43	6.60	-0.004	-0.013	-0.020
13563	0	0.0000	0	-1.086	-37.702	35.762	7.38	12.22	5.83	0.016	-0.055	-0.036
13570	0	0.0000	0	-1.118	-37.710	35.741	6.28	12.67	5.43	0.024	-0.068	-0.037
13577	0	0.0000	0	-1.144	-37.715	35.723	4.89	12.34	4.93	0.032	-0.082	-0.030
13584	0	0.0000	0	-1.165	-37.717	35.707	4.74	11.95	4.72	0.027	-0.045	-0.037
13591	0	0.0000	0	-1.172	-37.712	35.696	4.40	10.67	4.13	-0.015	-0.012	-0.015
13598	0	0.0000	0	-1.164	-37.700	35.691	4.88	9.23	3.38	-0.038	0.020	0.005
13605	0	0.0000	0	-1.149	-37.683	35.688	5.66	8.37	2.95	-0.047	0.040	0.023
13612	0	0.0000	0	-1.131	-37.659	35.681	5.90	7.78	1.92	-0.082	0.029	0.046
13619	0	0.0000	0	-1.118	-37.637	35.670	6.15	7.19	0.47	-0.073	0.034	0.055
13626	0	0.0000	0	-1.114	-37.616	35.654	6.18	7.29	-0.30	-0.048	0.015	0.041
13633	0	0.0000	0	-1.118	-37.599	35.633	5.62	6.90	-1.04	-0.040	0.001	0.033
13640	0	0.0000	0	-1.131	-37.588	35.611	4.54	7.35	-0.94	-0.002	-0.001	0.005
13647	0	0.0000	0	-1.144	-37.577	35.589	4.24	6.95	-0.99	0.008	-0.012	-0.019
13654	0	0.0000	0	-1.151	-37.564	35.570	4.00	6.11	-1.06	0.026	-0.021	-0.026
13661	0	0.0000	0	-1.145	-37.551	35.563	4.05	5.51	-1.57	0.032	-0.031	-0.036
13668	0	0.0000	0	-1.128	-37.531	35.558	5.13	4.82	-2.60	0.036	-0.021	-0.018
13675	0	0.0000	0	-1.107	-37.510	35.556	4.86	4.78	-3.25	0.015	-0.033	-0.021
13682	0	0.0000	0	-1.074	-37.486	35.562	6.13	3.37	-3.63	0.004	0.011	-0.014
13689	0	0.0000	0	-1.048	-37.467	35.566	6.60	1.85	-3.42	-0.021	0.016	-0.022
13696	0	0.0000	0	-1.023	-37.449	35.571	7.12	0.38	-2.99	-0.029	0.051	-0.029
13703	0	0.0000	0	-1.001	-37.429	35.571	7.53	-0.27	-2.87	-0.029	0.055	-0.003
13710	0	0.0000	0	-0.985	-37.409	35.565	7.65	-0.94	-2.85	-0.024	0.031	-0.004
13717	0	0.0000	0	-0.974	-37.388	35.554	7.34	-0.85	-2.94	0.005	0.010	0.024
13725	0	0.0000	0	-0.958	-37.360	35.541	7.11	-0.45	-2.90	0.012	-0.020	0.033
13732	0	0.0000	0	-0.931	-37.330	35.536	7.15	-0.73	-2.67	0.027	-0.047	0.026
13739	0	0.0000	0	-0.886	-37.296	35.542	6.94	-0.70	-2.38	0.026	-0.060	0.031
13746	0	0.0000	0	-0.828	-37.258	35.556	7.32	-0.83	-2.09	0.015	-0.054	0.021
13753	0	0.0000	0	-0.752	-37.219	35.586	7.94	-1.68	-1.65	-0.002	-0.030	0.002
13760	0	0.0000	0	-0.664	-37.181	35.625	9.35	-3.00	-1.42	-0.019	-0.006	-0.021
13767	0	0.0000	0	-0.569	-37.142	35.671	10.20	-4.18	-0.78	-0.020	0.022	-0.030
13774	0	0.0000	0	-0.478	-37.108	35.719	10.59	-5.23	-0.02	-0.044	0.048	-0.046
13781	0	0.0000	0	-0.392	-37.080	35.767	10.75	-5.71	0.62	-0.021	0.037	-0.049
13788	0	0.0000	0	-0.321	-37.054	35.804	9.84	-5.20	1.13	-0.003	0.006	-0.051
13795	0	0.0000	0	-0.260	-37.032	35.836	8.75	-4.41	1.74	0.028	-0.025	-0.038
13802	0	0.0000	0	-0.206	-37.013	35.865	7.48	-3.47	1.55	0.064	-0.035	-0.023
13809	0	0.0000	0	-0.153	-36.992	35.891	6.79	-3.21	1.56	0.086	-0.062	0.003
13816	0	0.0000	0	-0.096	-36.972	35.922	6.04	-2.40	1.93	0.087	-0.070	0.010
13823	0	0.0000	0	-0.025	-36.950	35.963	5.20	-1.81	2.18	0.081	-0.062	0.004
13830	0	0.0000	0	0.049	-36.930	36.009	4.83	-2.28	2.49	0.076	-0.030	0.015
13837	0	0.0000	0	0.127	-36.911	36.060	5.11	-2.63	3.09	0.046	-0.003	0.014
13844	0	0.0000	0	0.206	-36.896	36.114	5.36	-3.24	3.44	0.001	0.033	0.007
13851	0	0.0000	0	0.278	-36.885	36.166	5.45	-3.82	3.72	-0.031	0.059	0.012
13858	0	0.0000	0	0.335	-36.878	36.210	5.62	-3.93	3.87	-0.054	0.084	0.010
13865	0	0.0000	0	0.371	-36.876	36.240	5.58	-3.41	3.71	-0.075	0.065	0.014
13872	0	0.0000	0	0.388	-36.881	36.260	5.03	-3.01	3.86	-0.076	0.040	0.002
13879	0	0.0000	0	0.386	-36.892	36.268	3.70	-1.55	3.93	-0.055	-0.015	0.005
13886	0	0.0000	0	0.372	-36.905	36.269	2.19	-0.03	3.72	-0.026	-0.052	-0.008
13893	0	0.0000	0	0.355	-36.919	36.268	0.79	1.43	4.41	0.010	-0.074	-0.018
13900	0	0.0000	0	0.351	-36.928	36.273	-0.02	2.06	4.26	0.042	-0.080	-0.012
13907	0	0.0000	0	0.359	-36.935	36.286	-0.86	2.31	4.86	0.065	-0.043	-0.017
13914	0	0.0000	0	0.384	-36.935	36.309	-1.15	1.69	5.02	0.057	-0.008	-0.018
13921	0	0.0000	0	0.424	-36.930	36.339	-0.87	1.16	4.75	0.044	0.015	0.012
13928	0	0.0000	0	0.465	-36.923	36.368	-0.60	0.51	4.28	0.023	0.038	0.026
13935	0	0.0000	0	0.504	-36.914	36.394	-0.56	0.64	3.90	0.000	0.045	0.042
13942	0	0.0000	0	0.523	-36.914	36.411	-1.12	1.08	3.39	-0.010	0.055	0.034
13948	0	0.0000	0	0.524	-36.920	36.417	-1.95	1.31	3.88	-0.017	0.043	0.012
13955	0	0.0000	0	0.499	-36.935	36.409	-3.35	1.98	4.29	-0.029	0.030	-0.013
13962	0	0.0000	0	0.456	-36.956	36.392	-3.88	2.61	4.40	-0.011	0.005	-0.026
13969	0	0.0000	0	0.401	-36.977	36.364	-6.17	5.54	4.82	-0.013	-0.044	-0.025
13976	0	0.0000	0	0.340	-37.002	36.336	-7.50	6.41	5.18	-0.015	-0.050	-0.048
13983	0	0.0000	0	0.290	-37.023	36.312	-6.72	5.97	5.68	-0.045	-0.025	-0.045
13990	0	0.0000	0	0.249	-37.041	36.293	-5.36	4.63	5.99	-0.075	0.004	-0.028
13997	0	0.0000	0	0.209	-37.058	36.274	-3.88	3.36	6.19	-0.109	0.029	-0.009
14004	0	0.0000	0	0.166	-37.078	36.255	-2.19	2.54	6.06	-0.130	0.052	0.005
14011	0	0.0000	0	0.111	-37.100	36.229	-1.27	2.28	5.62	-0.110	0.051	0.014
14018	0	0.0000	0	0.035	-37.132	36.194	-1.32	2.45	6.56	-0.085	0.022	0.018
14025	0	0.0000	0	-0.051	-37.168	36.152	-1.90	2.96	7.15	-0.025	-0.004	0.022
14032	0	0.0000	0	-0.148	-37.211	36.109	-2.92	4.01	8.28	0.012	-0.042	0.014
14039	0	0.0000	0	-0.234	-37.250	36.071	-3.21	4.73	8.48	0.047	-0.064	0.025
14046	0	0.0000	0	-0.300	-37.282	36.044	-2.37	4.77	8.35	0.055	-0.065	0.040
14053	0	0.0000	0	-0.346	-37.308	36.029	-1.12	4.21	7.96	0.059	-0.037	0.058
14060	0	0.0000	0	-0.371	-37.329	36.027	0.82	3.05	7.93	0.041	0.004	0.040
14067	0	0.0000	0	-0.387	-37.349	36.033	3.05	1.84	7.76	0.012	0.039	0.027
14074	0	0.0000	0	-0.397	-37.369	36.044	5.13	0.95	7.73	0.001	0.048	0.038
14081	0	0.0000	0	-0.410	-37.388	36.050	5.92	1.14	7.49	-0.014	0.033	0.002
14088	0	0.0000	0	-0.439	-37.411	36.047	5.17	2.73	8.13	0.023	0.007	-0.036
14095	0	0.0000	0	-0.466	-37.430	36.042	4.45	4.20	8.23	0.027	-0.005	-0.033
14102	0	0.0000	0	-0.492	-37.447	36.036	4.90	5.31	8.47	0.023	-0.028	-0.038
14109	0	0.0000	0	-0.510	-37.460	36.033	6.16	5.54	7.93	-0.005	-0.021	-0.027
14116	0	0.0000	0	-0.509	-37.465	36.039	8.56	5.44	7.74	-0.034	0.003	-0.026
14123	0	0.0000	0	-0.499	-37.467	36.050	10.61	4.76	7.75	-0.078	0.028	-0.011
14130	0	0.0000	0	-0.490	-37.469	36.060	12.56	4.45	7.79	-0.082	0.036	-0.019
14137	0	0.0000	0	-0.487	-37.475	36.068	14.21	4.38	8.33	-0.079	0.030	-0.006
14144	0	0.0000	0	-0.489	-37.483	36.074	14.65	4.19	8.82	-0.058	0.022	-0.014
14151	0	0.0000	0	-0.498	-37.493	36.076	14.23	4.52	9.76	-0.010	0.004	-0.023
14158	0	0.0000	0	-0.508	-37.502	36.075	13.69	5.29	11.21	0.047	-0.017	-0.014
14165	0	0.0000	0	-0.507	-37.504	36.078	13.85	5.34	12.38	0.078	-0.026	-0.001
14172	0	0.0000	0	-0.479	-37.494	36.093	13.65	5.68	12.98	0.105	-0.037	0.005
14179	0	0.0000	0	-0.437	-37.476	36.113	13.64	6.20	12.89	0.121	-0.054	0.020
14186	0	0.0000	0	-0.367	-37.445	36.145	13.29	7.13	13.04	0.120	-0.046	0.034
14193	0	0.0000	0	-0.275	-37.409	36.190	13.93	7.21	12.86	0.097	-0.031	0.035
14200	0	0.0000	0	-0.171	-37.370	36.244	16.20	6.21	12.55	0.032	0.013	0.052
14207	0	0.0000	0	-0.069	-37.336	36.301	18.33	4.57	12.89	-0.022	0.065	0.033
14214	0	0.0000	0	0.014	-37.316	36.353	18.92	3.43	13.56	-0.050	0.099	0.011
14222	0	0.0000	0	0.069	-37.308	36.394	19.19	2.72	15.27	-0.065	0.088	-0.033
14229	0	0.0000	0	0.093	-37.311	36.419	18.49	2.66	16.76	-0.065	0.068	-0.046
14236	0	0.0000	0	0.095	-37.323	36.432	17.24	3.19	17.80	-0.049	0.019	-0.072
14243	0	0.0000	0	0.085	-37.337	36.438	16.17	4.32	18.58	-0.000	-0.040	-0.053
14249	0	0.0000	0	0.078	-37.345	36.438	14.15	7.41	18.47	0.035	-0.092	-0.037
14257	0	0.0000	0	0.090	-37.346	36.450	13.32	10.20	17.46	0.055	-0.146	0.011
14264	0	0.0000	0	0.131	-37.341	36.481	13.92	11.42	16.69	0.035	-0.121	0.019
14271	0	0.0000	0	0.194	-37.334	36.529	16.06	11.43	16.45	-0.003	-0.080	0.029
14278	0	0.0000	0	0.273	-37.325	36.590	17.42	10.45	17.13	-0.036	-0.005	0.023
14285	0	0.0000	0	0.354	-37.323	36.660	19.30	9.33	18.26	-0.060	0.040	0.004
14292	0	0.0000	0	0.413	-37.336	36.724	20.86	7.90	20.56	-0.065	0.088	-0.018
14299	0	0.0000	0	0.445	-37.357	36.773	21.42	8.53	22.24	-0.060	0.095	-0.028
14306	0	0.0000	0	0.451	-37.384	36.805	21.36	9.82	23.54	-0.023	0.067	-0.041
14313	0	0.0000	0	0.438	-37.412	36.820	21.67	11.99	24.24	-0.005	0.036	-0.033
14320	0	0.0000	0	0.410	-37.437	36.820	21.52	14.57	24.66	0.026	-0.032	-0.007
14327	0	0.0000	0	0.389	-37.450	36.815	22.15	17.23	25.07	0.035	-0.065	0.004
14334	0	0.0000	0	0.380	-37.454	36.810	23.07	19.87	25.63	0.035	-0.092	0.020
14341	0	0.0000	0	0.385	-37.452	36.813	24.76	21.44	26.07	0.008	-0.083	0.025
14348	0	0.0000	0	0.396	-37.449	36.819	26.76	21.83	26.11	-0.019	-0.058	0.046
14355	0	0.0000	0	0.425	-37.442	36.838	29.38	22.17	26.97	-0.046	-0.028	0.029
14362	0	0.0000	0	0.461	-37.434	36.863	31.46	22.67	28.08	-0.054	0.016	0.009
14369	0	0.0000	0	0.492	-37.433	36.889	33.48	23.20	29.65	-0.064	0.038	-0.000
14376	0	0.0000	0	0.522	-37.435	36.917	34.50	24.47	31.17	-0.062	0.083	-0.025
14384	0	0.0000	0	0.544	-37.441	36.943	35.41	25.41	32.81	-0.040	0.075	-0.037
14391	0	0.0000	0	0.562	-37.449	36.966	36.11	26.57	33.80	-0.018	0.058	-0.030
14398	0	0.0000	0	0.584	-37.453	36.989	37.16	27.63	34.86	0.010	0.055	-0.026
14405	0	0.0000	0	0.612	-37.451	37.011	38.12	28.71	35.68	0.033	0.017	-0.022
14412	0	0.0000	0	0.642	-37.448	37.035	39.18	29.89	36.18	0.063	0.006	-0.004
14419	0	0.0000	0	0.680	-37.441	37.061	39.71	30.77	36.36	0.064	-0.024	0.007
14426	0	0.0000	0	0.731	-37.428	37.094	40.36	31.47	36.81	0.088	-0.041	0.024
14433	0	0.0000	0	0.782	-37.416	37.127	41.30	32.41	37.14	0.082	-0.060	0.037
14440	0	0.0000	0	0.837	-37.403	37.163	42.05	33.10	37.50	0.066	-0.054	0.037
14447	0	0.0000	0	0.889	-37.392	37.199	42.90	34.01	37.97	0.043	-0.050	0.053
14454	0	0.0000	0	0.942	-37.383	37.236	43.21	34.54	38.51	0.030	-0.031	0.032
14461	0	0.0000	0	0.989	-37.376	37.270	43.07	34.88	38.94	0.024	0.004	0.023
14468	0	0.0000	0	1.029	-37.369	37.299	43.02	35.60	39.32	0.004	0.017	0.010
14475	0	0.0000	0	1.068	-37.361	37.326	43.02	36.40	39.69	-0.003	0.031	-0.005
14482	0	0.0000	0	1.106	-37.352	37.350	43.03	36.92	39.78	-0.016	0.045	-0.008
14490	0	0.0000	0	1.144	-37.339	37.371	42.78	38.07	39.63	-0.023	0.045	-0.010
14497	0	0.0000	0	1.182	-37.326	37.392	42.89	38.34	39.56	-0.016	0.029	-0.013
14504	0	0.0000	0	1.223	-37.309	37.412	42.91	39.17	38.92	-0.013	0.019	-0.011
14511	0	0.0000	0	1.259	-37.295	37.429	42.95	39.77	38.40	-0.012	0.004	0.005
14518	0	0.0000	0	1.295	-37.281	37.447	42.81	40.25	37.94	-0.016	0.007	-0.003
14525	0	0.0000	0	1.324	-37.272	37.464	42.50	40.31	37.99	-0.007	0.008	-0.008
14532	0	0.0000	0	1.351	-37.265	37.481	42.25	40.43	38.12	0.009	0.004	-0.019
14539	0	0.0000	0	1.370	-37.262	37.495	42.05	40.05	38.70	-0.005	0.017	-0.015
14546	0	0.0000	0	1.387	-37.261	37.508	42.09	39.22	39.16	0.011	0.020	-0.010
14553	0	0.0000	0	1.402	-37.258	37.519	42.16	38.62	39.60	0.018	0.028	-0.025
14560	0	0.0000	0	1.417	-37.251	37.526	41.95	38.17	39.93	0.008	0.025	-0.004
14567	0	0.0000	0	1.430	-37.241	37.527	41.95	38.54	39.25	0.004	-0.009	0.015
14574	0	0.0000	0	1.445	-37.226	37.526	41.85	38.96	38.19	0.001	-0.014	0.031
14581	0	0.0000	0	1.458	-37.210	37.521	41.38	39.06	37.60	0.012	-0.032	0.047
14588	0	0.0000	0	1.473	-37.195	37.520	41.07	38.95	37.40	0.011	-0.026	0.052
14595	0	0.0000	0	1.492	-37.180	37.522	41.01	39.08	37.43	0.022	-0.027	0.048
14602	0	0.0000	0	1.511	-37.167	37.526	40.33	38.78	37.14	0.020	-0.014	0.027
14609	0	0.0000	0	1.535	-37.157	37.538	40.02	38.27	37.32	0.018	0.023	0.013
14616	0	0.0000	0	1.564	-37.147	37.553	39.70	37.48	37.91	0.003	0.037	-0.019
14623	0	0.0000	0	1.592	-37.141	37.572	39.40	36.54	38.09	-0.008	0.050	-0.036
14630	0	0.0000	0	1.616	-37.137	37.589	39.36	36.00	38.24	-0.029	0.062	-0.044
14637	0	0.0000	0	1.644	-37.129	37.607	39.73	35.08	38.27	-0.029	0.062	-0.054
14644	0	0.0000	0	1.668	-37.122	37.621	39.16	34.43	38.22	-0.031	0.039	-0.062
14651	0	0.0000	0	1.688	-37.116	37.632	38.65	34.12	38.09	-0.031	0.023	-0.065
14658	0	0.0000	0	1.700	-37.111	37.638	38.36	34.10	37.97	-0.021	-0.007	-0.029
14666	0	0.0000	0	1.711	-37.107	37.644	38.38	33.96	37.57	0.000	-0.028	-0.019
14672	0	0.0000	0	1.718	-37.104	37.647	37.84	34.19	37.45	0.015	-0.037	0.007
14679	0	0.0000	0	1.721	-37.106	37.651	36.88	33.94	37.28	0.026	-0.044	0.029
14686	0	0.0000	0	1.725	-37.107	37.656	36.99	33.12	37.58	0.033	-0.045	0.025
14694	0	0.0000	0	1.733	-37.110	37.666	36.85	32.24	38.17	0.036	-0.028	0.028
14701	0	0.0000	0	1.743	-37.113	37.678	36.99	31.69	37.96	0.037	0.003	0.032
14708	0	0.0000	0	1.760	-37.114	37.694	37.09	30.92	37.88	0.021	0.014	0.035
14715	0	0.0000	0	1.773	-37.118	37.709	37.18	30.67	37.72	0.020	0.014	0.041
14721	0	0.0000	0	1.788	-37.122	37.727	36.94	30.04	37.86	0.016	0.024	0.046
14729	0	0.0000	0	1.803	-37.128	37.745	36.51	29.64	38.15	0.008	0.022	0.016
14736	0	0.0000	0	1.815	-37.135	37.763	35.86	29.38	38.75	-0.005	0.023	0.004
14743	0	0.0000	0	1.825	-37.145	37.780	34.95	29.47	38.93	-0.002	0.012	-0.006
14750	0	0.0000	0	1.837	-37.153	37.799	34.06	29.25	38.87	-0.003	0.005	-0.021
14757	0	0.0000	0	1.857	-37.158	37.822	34.17	29.00	38.28	-0.006	-0.016	-0.024
14764	0	0.0000	0	1.879	-37.164	37.847	34.25	28.81	38.18	-0.028	-0.013	-0.015
14771	0	0.0000	0	1.902	-37.171	37.874	33.93	28.16	37.88	-0.023	-0.023	-0.011
14778	0	0.0000	0	1.922	-37.180	37.901	33.21	27.59	37.90	-0.024	-0.023	-0.029
14785	0	0.0000	0	1.934	-37.194	37.924	32.62	27.12	37.79	-0.014	-0.016	-0.011
14792	0	0.0000	0	1.937	-37.211	37.944	31.67	26.96	37.54	-0.002	-0.019	-0.014
14799	0	0.0000	0	1.933	-37.231	37.960	30.74	26.74	37.84	0.033	-0.007	-0.010
14806	0	0.0000	0	1.923	-37.254	37.973	29.46	26.47	37.48	0.043	0.004	-0.002
