# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
14813	0	0.0000	0	1.908	-37.279	37.985	28.52	26.25	37.17	0.054	0.015	0.012
14820	0	0.0000	0	1.896	-37.300	37.995	27.48	26.00	36.23	0.041	0.024	0.038
14827	0	0.0000	0	1.883	-37.321	38.004	26.88	25.87	35.16	0.042	0.017	0.047
14834	0	0.0000	0	1.871	-37.340	38.012	26.75	25.78	34.54	0.016	0.019	0.053
14841	0	0.0000	0	1.858	-37.362	38.022	26.22	25.18	33.77	0.003	0.018	0.049
14848	0	0.0000	0	1.843	-37.385	38.030	25.20	24.77	33.19	-0.002	0.034	0.045
14855	0	0.0000	0	1.821	-37.411	38.037	24.53	24.01	32.61	-0.025	0.023	0.033
14862	0	0.0000	0	1.795	-37.439	38.042	24.27	23.94	32.62	-0.042	0.018	0.013
14869	0	0.0000	0	1.765	-37.468	38.043	23.31	23.63	31.89	-0.052	0.007	-0.004
14876	0	0.0000	0	1.734	-37.497	38.044	22.83	23.25	31.16	-0.037	-0.011	-0.001
14883	0	0.0000	0	1.697	-37.529	38.042	21.69	23.25	30.39	-0.030	-0.026	-0.026
14890	0	0.0000	0	1.661	-37.557	38.039	20.59	23.09	29.54	-0.031	-0.033	-0.030
14897	0	0.0000	0	1.625	-37.587	38.035	20.12	22.91	28.93	-0.014	-0.035	-0.022
14904	0	0.0000	0	1.595	-37.612	38.034	19.23	22.40	28.42	0.018	-0.024	-0.014
14911	0	0.0000	0	1.567	-37.636	38.032	18.70	21.17	27.54	0.013	0.003	-0.033
14918	0	0.0000	0	1.539	-37.660	38.031	18.29	20.07	26.61	0.022	0.020	-0.025
14925	0	0.0000	0	1.515	-37.681	38.030	17.96	19.23	26.20	0.025	0.052	-0.014
14932	0	0.0000	0	1.487	-37.700	38.025	17.84	18.41	25.13	0.010	0.038	-0.001
14939	0	0.0000	0	1.448	-37.724	38.014	16.84	17.82	24.18	0.011	0.033	0.012
