514628	33.590	0.510	-34.094	0.24	-0.10	0.19	0.060	0.002	0.013	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514636	33.588	0.508	-34.090	0.13	0.19	0.12	0.050	-0.018	0.013	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514644	33.591	0.504	-34.089	0.14	-0.12	-0.01	0.032	0.001	0.001	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514653	33.594	0.501	-34.090	0.02	-0.16	-0.05	0.027	0.018	0.004	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514661	33.598	0.494	-34.087	0.34	-0.02	0.01	0.023	0.005	0.010	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514669	33.602	0.491	-34.087	0.27	-0.09	-0.06	-0.014	-0.007	-0.020	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514677	33.603	0.493	-34.091	-0.17	-0.28	-0.17	-0.018	-0.007	-0.029	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514685	33.605	0.493	-34.092	0.15	-0.09	-0.15	-0.040	-0.016	-0.028	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514693	33.605	0.493	-34.093	-0.16	-0.16	0.03	-0.043	-0.010	-0.013	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514701	33.600	0.494	-34.089	-0.08	-0.15	0.04	-0.040	-0.003	-0.002	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514710	33.592	0.506	-34.092	-0.14	-0.11	-0.26	-0.028	-0.009	0.000	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514718	33.590	0.507	-34.091	-0.18	0.05	0.25	-0.015	0.008	0.010	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514726	33.587	0.505	-34.087	-0.01	0.09	-0.06	0.023	0.004	0.017	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514734	33.587	0.507	-34.088	0.16	-0.02	0.09	0.021	0.008	0.011	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514742	33.588	0.502	-34.084	0.31	0.15	0.09	0.034	0.012	-0.004	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514751	33.589	0.500	-34.084	-0.02	-0.20	-0.08	0.036	0.002	0.016	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514759	33.592	0.500	-34.086	0.21	-0.17	0.20	0.017	0.009	0.008	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514767	33.593	0.496	-34.084	-0.42	-0.15	-0.04	-0.010	-0.007	-0.004	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514775	33.592	0.499	-34.086	0.26	-0.11	0.08	-0.023	-0.018	-0.009	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514783	33.594	0.498	-34.086	0.31	-0.01	-0.07	-0.032	-0.006	-0.023	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514791	33.598	0.495	-34.087	0.28	0.15	0.01	-0.043	-0.009	-0.016	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514800	33.598	0.493	-34.086	0.19	-0.14	-0.03	-0.049	0.010	-0.012	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514808	33.597	0.497	-34.089	-0.22	-0.30	-0.10	-0.033	-0.008	-0.011	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514816	33.597	0.495	-34.086	-0.08	0.17	0.03	-0.012	0.000	0.017	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514824	33.593	0.493	-34.080	0.02	0.25	-0.15	-0.002	0.006	0.014	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514832	33.595	0.493	-34.082	0.14	0.10	-0.22	0.028	-0.011	0.016	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514840	33.592	0.495	-34.082	0.05	0.00	-0.14	0.043	0.017	0.032	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514849	33.590	0.496	-34.080	-0.03	-0.01	-0.15	0.052	0.011	0.019	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514857	33.600	0.487	-34.082	0.05	0.13	-0.27	0.043	0.011	0.027	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514865	33.607	0.481	-34.082	0.22	0.07	-0.17	0.040	-0.009	0.002	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514873	33.609	0.479	-34.082	0.08	-0.40	-0.29	0.031	-0.014	0.004	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514881	33.607	0.480	-34.082	-0.21	-0.23	-0.29	0.010	0.001	-0.005	0.000	0.000	0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514889	33.598	0.495	-34.088	-0.19	-0.22	-0.11	-0.013	-0.022	-0.012	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514897	33.587	0.511	-34.091	-0.04	0.08	0.19	-0.031	-0.009	-0.012	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514906	33.570	0.534	-34.097	0.09	0.02	0.22	-0.055	0.005	-0.026	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514914	33.566	0.540	-34.099	0.02	-0.01	0.10	-0.054	-0.009	-0.030	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514922	33.569	0.533	-34.096	-0.01	0.07	0.27	-0.051	0.006	-0.032	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514930	33.576	0.517	-34.087	0.24	-0.47	-0.18	-0.021	0.040	-0.010	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514938	33.581	0.502	-34.077	-0.04	0.04	0.24	0.003	0.024	-0.005	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514947	33.585	0.494	-34.074	-0.09	-0.27	-0.15	0.022	0.026	-0.002	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514955	33.596	0.483	-34.074	-0.27	-0.14	-0.20	0.037	0.001	-0.001	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514963	33.603	0.475	-34.073	-0.12	0.16	0.10	0.044	-0.009	-0.001	-0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514971	33.607	0.468	-34.070	-0.04	-0.03	-0.00	0.027	-0.018	0.019	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514979	33.608	0.467	-34.070	-0.24	-0.02	-0.25	0.030	-0.026	0.012	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514987	33.609	0.479	-34.083	-0.15	0.03	-0.29	0.014	-0.033	0.014	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
514996	33.603	0.489	-34.086	0.22	-0.23	0.14	-0.007	-0.027	0.022	0.000	0.000	-0.000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1.00	0.2624	0.2264	-0.4830	1.421	0	nan	nan	nan	nan	nan	nan
