started - CORNER STAGE 3: POSITION + RATE (WiFi build, cube held by hand)
all stopped
# mount DCM check: det=1.0000  |row0|=1.0000  |row1|=1.0000  |row2|=1.0000
BMI270 connected!
# calibrating gyro bias -- keep the cube PERFECTLY STILL (~2s)
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6091 runner_up=[-1,-1,+1] dot=0.6020)
# WARNING: best and runner-up corners are close -- verify before arming.
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
# STARTS DISARMED, gGainScale=0.1. Send a1 to arm, a0 to
# disarm, g<0..1> to step gain, m<deg> to widen/narrow kMaxTilt.
# h1 halts (idle + disarm), h0 resumes (still disarmed).
# WiFi build: d<N> sets telemetry decimation (d2 = 250 Hz,
#   d20 = 25 Hz readable), l<0/1phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
29051	2.141	-1.015	-1.153	2.54	4.83	4.93	0.061	0.028	-0.383	0.0396	-0.0186	-0.0220	0.0000	0.0000	0.0000	0	0.10
29059	2.129	-1.023	-1.133	2.05	4.32	4.77	0.038	-0.012	-0.233	0.0391	-0.0192	-0.0210	0.0000	0.0000	0.0000	0	0.10
29066	2.116	-1.028	-1.116	1.76	4.29	4.66	0.020	-0.007	-0.116	0.0385	-0.0190	-0.0206	0.0000	0.0000	0.0000	0	0.10
29074	2.106	-1.033	-1.101	1.54	3.97	4.25	-0.030	-0.042	0.033	0.0385	-0.0192	-0.0205	0.0000	0.0000	0.0000	0	0.10
29081	2.099	-1.037	-1.090	1.48	3.60	4.05	-0.060	-0.031	0.164	0.0388	-0.0197	-0.0202	0.0000	0.0000	0.0000	0	0.10
29089	2.090	-1.036	-1.082	1.18	3.24	3.96	-0.080	-0.064	0.276	0.0385	-0.0200	-0.0197	0.0000	0.0000	0.0000	0	0.10
29096	2.077	-1.030	-1.075	0.99	3.10	3.56	-0.096	-0.061	0.360	0.0384	-0.0196	-0.0199	0.0000	0.0000	0.0000	0	0.10
29104	2.064	-1.023	-1.069	0.45	3.29	3.05	-0.100	-0.063	0.423	0.0375	-0.0183	-0.0203	0.0000	0.0000	0.0000	0	0.10
29111	2.047	-1.009	-1.065	-0.16	3.62	3.13	-0.073	-0.049	0.429	0.0357	-0.0169	-0.0198	0.0000	0.0000	0.0000	0	0.10
29118	2.031	-0.995	-1.063	-0.79	3.84	3.00	-0.060	-0.046	0.404	0.0343	-0.0156	-0.0196	0.0000	0.0000	0.0000	0	0.10
29126	2.012	-0.977	-1.061	-1.07	3.85	3.18	-0.017	-0.016	0.325	0.0333	-0.0151	-0.0190	0.0000	0.0000	0.0000	0	0.10
29133	1.998	-0.962	-1.061	-1.41	3.76	3.18	0.008	-0.043	0.233	0.0325	-0.0147	-0.0186	0.0000	0.0000	0.0000	0	0.10
29140	1.986	-0.953	-1.059	-1.06	3.83	3.07	0.021	-0.004	0.124	0.0329	-0.0146	-0.0191	0.0000	0.0000	0.0000	0	0.10
29148	1.977	-0.940	-1.062	-0.67	3.86	2.76	0.032	0.032	0.004	0.0336	-0.0143	-0.0201	0.0000	0.0000	0.0000	0	0.10
29155	1.968	-0.932	-1.061	-0.16	3.60	2.84	0.055	0.039	-0.124	0.0344	-0.0151	-0.0202	0.0000	0.0000	0.0000	0	0.10
29162	1.954	-0.916	-1.063	-0.01	3.70	2.59	0.037	0.055	-0.219	0.0345	-0.0145	-0.0209	0.0000	0.0000	0.0000	0	0.10
29170	1.932	-0.901	-1.055	-0.00	3.68	2.49	0.037	0.062	-0.290	0.0342	-0.0142	-0.0209	0.0000	0.0000	0.0000	0	0.10
29177	1.903	-0.882	-1.044	-0.27	3.91	2.63	0.039	0.037	-0.337	0.0328	-0.0133	-0.0204	0.0000	0.0000	0.0000	0	0.10
29185	1.871	-0.864	-1.030	-0.64	3.86	2.84	0.032	0.033	-0.343	0.0314	-0.0128	-0.0193	0.0000	0.0000	0.0000	0	0.10
29192	1.835	-0.849	-1.009	-1.10	3.99	2.54	0.024	0.023	-0.313	0.0300	-0.0116	-0.0191	0.0000	0.0000	0.0000	0	0.10
29199	1.802	-0.835	-0.989	-1.39	4.03	2.67	0.017	0.003	-0.262	0.0287	-0.0111	-0.0182	0.0000	0.0000	0.0000	0	0.10
29207	1.774	-0.826	-0.970	-1.53	3.74	2.38	-0.002	-0.012	-0.183	0.0284	-0.0111	-0.0180	0.0000	0.0000	0.0000	0	0.10
29214	1.749	-0.819	-0.952	-1.54	3.08	1.98	-0.018	-0.011	-0.082	0.0288	-0.0118	-0.0177	0.0000	0.0000	0.0000	0	0.10
29221	1.731	-0.812	-0.941	-1.58	2.69	1.68	-0.033	-0.021	0.008	0.0290	-0.0121	-0.0176	0.0000	0.0000	0.0000	0	0.10
29229	1.712	-0.803	-0.931	-1.60	2.18	1.26	-0.033	-0.037	0.108	0.0294	-0.0125	-0.0177	0.0000	0.0000	0.0000	0	0.10
29236	1.695	-0.791	-0.925	-1.64	1.94	0.68	-0.039	0.001	0.192	0.0297	-0.0121	-0.0183	0.0000	0.0000	0.0000	0	0.10
29244	1.674	-0.773	-0.921	-2.07	1.69	0.51	-0.038	0.010	0.262	0.0289	-0.0117	-0.0179	0.0000	0.0000	0.0000	0	0.10
29251	1.650	-0.755	-0.916	-2.15	1.90	0.29	-0.017	-0.006	0.280	0.0283	-0.0107	-0.0183	0.0000	0.0000	0.0000	0	0.10
29258	1.628	-0.735	-0.912	-2.72	1.86	0.25	-0.001	-0.007	0.285	0.0269	-0.0098	-0.0177	0.0000	0.0000	0.0000	0	0.10
29266	1.603	-0.713	-0.909	-3.01	2.01	0.40	0.017	0.012	0.239	0.0257	-0.0090	-0.0172	0.0000	0.0000	0.0000	0	0.10
29273	1.587	-0.694	-0.911	-2.94	1.87	0.25	0.014	-0.002	0.190	0.0257	-0.0088	-0.0175	0.0000	0.0000	0.0000	0	0.10
29280	1.575	-0.675	-0.918	-2.53	1.78	0.25	0.020	0.002	0.128	0.0263	-0.0089	-0.0179	0.0000	0.0000	0.0000	0	0.10
29288	1.562	-0.660	-0.919	-2.35	1.50	0.14	0.003	0.027	0.050	0.0266	-0.0092	-0.0180	0.0000	0.0000	0.0000	0	0.10
29295	1.551	-0.643	-0.924	-1.95	1.20	0.36	0.006	-0.010	-0.036	0.0272	-0.0099	-0.0179	0.0000	0.0000	0.0000	0	0.10
29302	1.537	-0.631	-0.923	-1.88	1.07	0.31	0.002	0.009	-0.122	0.0271	-0.0099	-0.0179	0.0000	0.0000	0.0000	0	0.10
29310	1.520	-0.613	-0.923	-1.85	0.98	0.48	0.003	0.012	-0.189	0.0268	-0.0098	-0.0175	0.0000	0.0000	0.0000	0	0.10
29317	1.500	-0.593	-0.923	-1.73	1.03	0.52	0.000	0.038	-0.226	0.0265	-0.0095	-0.0176	0.0000	0.0000	0.0000	0	0.10
29324	1.477	-0.568	-0.924	-2.19	0.98	0.39	0.013	0.024	-0.243	0.0254	-0.0085	-0.0174	0.0000	0.0000	0.0000	0	0.10
29332	1.456	-0.548	-0.923	-2.03	0.59	0.52	0.015	0.020	-0.217	0.0255	-0.0091	-0.0170	0.0000	0.0000	0.0000	0	0.10
29339	1.432	-0.528	-0.918	-2.42	0.46	0.30	0.018	0.013	-0.188	0.0246	-0.0084	-0.0167	0.0000	0.0000	0.0000	0	0.10
29346	1.413	-0.515	-0.912	-2.21	0.13	0.31	0.013	0.014	-0.144	0.0249	-0.0089	-0.0165	0.0000	0.0000	0.0000	0	0.10
29354	1.399	-0.509	-0.904	-1.86	-0.67	0.03	-0.008	0.012	-0.076	0.0261	-0.0103	-0.0165	0.0000	0.0000	0.0000	0	0.10
29361	1.384	-0.503	-0.894	-1.37	-1.33	-0.12	-0.018	0.039	-0.009	0.0274	-0.0117	-0.0164	0.0000	0.0000	0.0000	0	0.10
29368	1.368	-0.501	-0.880	-1.79	-1.47	-0.51	-0.030	0.023	0.065	0.0268	-0.0112	-0.0163	0.0000	0.0000	0.0000	0	0.10
29376	1.351	-0.503	-0.861	-1.72	-2.16	-0.43	-0.030	0.012	0.109	0.0271	-0.0126	-0.0152	0.0000	0.0000	0.0000	0	0.10
29383	1.335	-0.498	-0.849	-1.70	-2.24	-0.16	-0.032	0.014	0.148	0.0266	-0.0129	-0.0145	0.0000	0.0000	0.0000	0	0.10
29390	1.322	-0.499	-0.837	-1.67	-2.40	-0.23	-0.007	-0.011	0.171	0.0266	-0.0131	-0.0142	0.0000	0.0000	0.0000	0	0.10
29398	1.313	-0.499	-0.828	-1.91	-2.53	-0.28	-0.002	-0.039	0.156	0.0261	-0.0131	-0.0138	0.0000	0.0000	0.0000	0	0.10
